"Bedrijfstakken/branches (SBI 2008) ";"Regio's";"Perioden";"Banen van werknemers in december (x 1 000)"
"A-U Alle economische activiteiten";"Nederland, Buitenland, Niet in te delen";"2024 december*";"  9086.2"
"A-U Alle economische activiteiten";"Nederland";"2024 december*";"  9058.6"
"A-U Alle economische activiteiten";"Nederland; niet in te delen";"2024 december*";"    27.6"
"A-U Alle economische activiteiten";"Groningen (PV)";"2024 december*";"   282.5"
"A-U Alle economische activiteiten";"Fryslân (PV)";"2024 december*";"   282.2"
"A-U Alle economische activiteiten";"Drenthe (PV)";"2024 december*";"   220.1"
"A-U Alle economische activiteiten";"Overijssel (PV)";"2024 december*";"   608.5"
"A-U Alle economische activiteiten";"Flevoland (PV)";"2024 december*";"   174.5"
"A-U Alle economische activiteiten";"Gelderland (PV)";"2024 december*";"  1035.7"
"A-U Alle economische activiteiten";"Utrecht (PV)";"2024 december*";"   835.8"
"A-U Alle economische activiteiten";"Noord-Holland (PV)";"2024 december*";"  1672.9"
"A-U Alle economische activiteiten";"Zuid-Holland (PV)";"2024 december*";"  1858.6"
"A-U Alle economische activiteiten";"Zeeland (PV)";"2024 december*";"   168.4"
"A-U Alle economische activiteiten";"Noord-Brabant (PV)";"2024 december*";"  1392.3"
"A-U Alle economische activiteiten";"Limburg (PV)";"2024 december*";"   527.2"
"A Landbouw, bosbouw en visserij";"Nederland, Buitenland, Niet in te delen";"2024 december*";"   105.5"
"A Landbouw, bosbouw en visserij";"Nederland";"2024 december*";"   105.1"
"A Landbouw, bosbouw en visserij";"Nederland; niet in te delen";"2024 december*";"     0.4"
"A Landbouw, bosbouw en visserij";"Groningen (PV)";"2024 december*";"     2.2"
"A Landbouw, bosbouw en visserij";"Fryslân (PV)";"2024 december*";"     3.2"
"A Landbouw, bosbouw en visserij";"Drenthe (PV)";"2024 december*";"     2.5"
"A Landbouw, bosbouw en visserij";"Overijssel (PV)";"2024 december*";"     5.1"
"A Landbouw, bosbouw en visserij";"Flevoland (PV)";"2024 december*";"     3.0"
"A Landbouw, bosbouw en visserij";"Gelderland (PV)";"2024 december*";"    13.7"
"A Landbouw, bosbouw en visserij";"Utrecht (PV)";"2024 december*";"     3.0"
"A Landbouw, bosbouw en visserij";"Noord-Holland (PV)";"2024 december*";"    15.4"
"A Landbouw, bosbouw en visserij";"Zuid-Holland (PV)";"2024 december*";"    25.0"
"A Landbouw, bosbouw en visserij";"Zeeland (PV)";"2024 december*";"     3.5"
"A Landbouw, bosbouw en visserij";"Noord-Brabant (PV)";"2024 december*";"    18.4"
"A Landbouw, bosbouw en visserij";"Limburg (PV)";"2024 december*";"     9.9"
"B Delfstoffenwinning";"Nederland, Buitenland, Niet in te delen";"2024 december*";"     8.2"
"B Delfstoffenwinning";"Nederland";"2024 december*";"     8.2"
"B Delfstoffenwinning";"Nederland; niet in te delen";"2024 december*";"     0.0"
"B Delfstoffenwinning";"Groningen (PV)";"2024 december*";"     0.3"
"B Delfstoffenwinning";"Fryslân (PV)";"2024 december*";"     0.3"
"B Delfstoffenwinning";"Drenthe (PV)";"2024 december*";"     1.1"
"B Delfstoffenwinning";"Overijssel (PV)";"2024 december*";"       ."
"B Delfstoffenwinning";"Flevoland (PV)";"2024 december*";"     0.0"
"B Delfstoffenwinning";"Gelderland (PV)";"2024 december*";"       ."
"B Delfstoffenwinning";"Utrecht (PV)";"2024 december*";"       ."
"B Delfstoffenwinning";"Noord-Holland (PV)";"2024 december*";"     1.7"
"B Delfstoffenwinning";"Zuid-Holland (PV)";"2024 december*";"     2.8"
"B Delfstoffenwinning";"Zeeland (PV)";"2024 december*";"       ."
"B Delfstoffenwinning";"Noord-Brabant (PV)";"2024 december*";"     0.3"
"B Delfstoffenwinning";"Limburg (PV)";"2024 december*";"     0.4"
"C Industrie";"Nederland, Buitenland, Niet in te delen";"2024 december*";"   794.2"
"C Industrie";"Nederland";"2024 december*";"   791.0"
"C Industrie";"Nederland; niet in te delen";"2024 december*";"     3.2"
