"Bedrijfstakken/branches (SBI 2008) ";"Perioden";"Regio's";"Banen van werknemers in december (x 1 000)"
"A-U Alle economische activiteiten";"2024 december*";"Nederland, Buitenland, Niet in te delen";"  9086.2"
"A-U Alle economische activiteiten";"2024 december*";"Zuid-Nederland (LD)";"  1919.5"
"A-U Alle economische activiteiten";"2024 december*";"Groningen (PV)";"   282.5"
"A-U Alle economische activiteiten";"2024 december*";"Midden-Limburg (CR)";"   105.8"
"A-U Alle economische activiteiten";"2024 december*";"Zwolle";"   111.3"
"A-U Alle economische activiteiten";"2024 december*";"Gorinchem (AM)";"    69.1"
"A Landbouw, bosbouw en visserij";"2024 december*";"Nederland, Buitenland, Niet in te delen";"   105.5"
"A Landbouw, bosbouw en visserij";"2024 december*";"Zuid-Nederland (LD)";"    28.3"
"A Landbouw, bosbouw en visserij";"2024 december*";"Groningen (PV)";"     2.2"
"A Landbouw, bosbouw en visserij";"2024 december*";"Midden-Limburg (CR)";"     2.3"
"A Landbouw, bosbouw en visserij";"2024 december*";"Zwolle";"     0.1"
"A Landbouw, bosbouw en visserij";"2024 december*";"Gorinchem (AM)";"     0.6"
"B Delfstoffenwinning";"2024 december*";"Nederland, Buitenland, Niet in te delen";"     8.2"
"B Delfstoffenwinning";"2024 december*";"Zuid-Nederland (LD)";"     0.7"
"B Delfstoffenwinning";"2024 december*";"Groningen (PV)";"     0.3"
"B Delfstoffenwinning";"2024 december*";"Midden-Limburg (CR)";"     0.1"
"B Delfstoffenwinning";"2024 december*";"Zwolle";"     0.0"
"B Delfstoffenwinning";"2024 december*";"Gorinchem (AM)";"       ."
"C Industrie";"2024 december*";"Nederland, Buitenland, Niet in te delen";"   794.2"
"C Industrie";"2024 december*";"Zuid-Nederland (LD)";"   251.3"
"C Industrie";"2024 december*";"Groningen (PV)";"    21.6"
"C Industrie";"2024 december*";"Midden-Limburg (CR)";"    14.4"
"C Industrie";"2024 december*";"Zwolle";"     6.6"
"C Industrie";"2024 december*";"Gorinchem (AM)";"     9.4"
"D Energievoorziening";"2024 december*";"Nederland, Buitenland, Niet in te delen";"    40.0"
"D Energievoorziening";"2024 december*";"Zuid-Nederland (LD)";"     8.0"
"D Energievoorziening";"2024 december*";"Groningen (PV)";"     3.1"
"D Energievoorziening";"2024 december*";"Midden-Limburg (CR)";"     0.7"
"D Energievoorziening";"2024 december*";"Zwolle";"     1.4"
"D Energievoorziening";"2024 december*";"Gorinchem (AM)";"       ."
"E Waterbedrijven en afvalbeheer";"2024 december*";"Nederland, Buitenland, Niet in te delen";"    39.7"
"E Waterbedrijven en afvalbeheer";"2024 december*";"Zuid-Nederland (LD)";"     8.8"
"E Waterbedrijven en afvalbeheer";"2024 december*";"Groningen (PV)";"     1.4"
"E Waterbedrijven en afvalbeheer";"2024 december*";"Midden-Limburg (CR)";"     0.6"
"E Waterbedrijven en afvalbeheer";"2024 december*";"Zwolle";"     1.8"
"E Waterbedrijven en afvalbeheer";"2024 december*";"Gorinchem (AM)";"       ."
"F Bouwnijverheid";"2024 december*";"Nederland, Buitenland, Niet in te delen";"   368.1"
"F Bouwnijverheid";"2024 december*";"Zuid-Nederland (LD)";"    79.9"
"F Bouwnijverheid";"2024 december*";"Groningen (PV)";"    10.6"
"F Bouwnijverheid";"2024 december*";"Midden-Limburg (CR)";"     5.4"
"F Bouwnijverheid";"2024 december*";"Zwolle";"     3.7"
"F Bouwnijverheid";"2024 december*";"Gorinchem (AM)";"     6.8"
"G Handel";"2024 december*";"Nederland, Buitenland, Niet in te delen";"  1484.1"
"G Handel";"2024 december*";"Zuid-Nederland (LD)";"   327.2"
"G Handel";"2024 december*";"Groningen (PV)";"    40.3"
"G Handel";"2024 december*";"Midden-Limburg (CR)";"    20.6"
"G Handel";"2024 december*";"Zwolle";"    14.4"
"G Handel";"2024 december*";"Gorinchem (AM)";"    13.0"
